"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Duration
"(73, 20)","(89, 14)","(106, 20)","(108, 40)","(84, 43)","(73, 35)",9.688890933990479
"(70, 17)","(72, 40)","(88, 48)","(113, 41)","(108, 17)","(94, 11)",
"(70, 17)","(72, 40)","(88, 48)","(113, 41)","(108, 17)","(94, 11)",
"(73, 20)","(89, 14)","(106, 20)","(108, 40)","(84, 43)","(73, 35)",
"(70, 17)","(72, 40)","(88, 48)","(113, 41)","(108, 17)","(94, 11)",
"(72, 15)","(74, 41)","(87, 48)","(113, 41)","(109, 18)","(91, 10)",
"(73, 20)","(89, 14)","(106, 20)","(108, 40)","(90, 45)","(72, 34)",
"(70, 17)","(72, 40)","(87, 48)","(113, 41)","(109, 18)","(93, 10)",
"(73, 20)","(89, 14)","(106, 20)","(108, 40)","(90, 45)","(72, 34)",
"(70, 17)","(72, 40)","(87, 48)","(113, 41)","(109, 18)","(93, 10)",
"(73, 20)","(89, 14)","(106, 20)","(108, 40)","(90, 45)","(72, 34)",
"(70, 17)","(72, 40)","(87, 48)","(113, 41)","(109, 18)","(92, 10)",
"(73, 20)","(89, 14)","(106, 20)","(108, 40)","(90, 45)","(72, 34)",
"(70, 17)","(72, 40)","(87, 48)","(113, 41)","(109, 18)","(93, 10)",
"(73, 20)","(89, 14)","(106, 20)","(108, 40)","(90, 45)","(72, 34)",
"(70, 17)","(72, 40)","(87, 48)","(113, 41)","(109, 18)","(93, 10)",
"(73, 20)","(89, 14)","(106, 20)","(108, 40)","(90, 45)","(72, 34)",
"(70, 17)","(72, 40)","(87, 48)","(113, 41)","(110, 19)","(93, 10)",
"(73, 20)","(89, 14)","(106, 20)","(108, 40)","(90, 45)","(73, 35)",
"(73, 20)","(89, 14)","(106, 20)","(108, 40)","(90, 45)","(73, 35)",
"(73, 20)","(89, 14)","(106, 20)","(108, 40)","(90, 45)","(73, 35)",
"(70, 17)","(72, 40)","(87, 48)","(113, 41)","(110, 19)","(93, 10)",
"(73, 20)","(89, 14)","(106, 20)","(108, 40)","(90, 45)","(73, 35)",
"(70, 17)","(72, 40)","(87, 48)","(113, 41)","(110, 19)","(93, 10)",
"(73, 20)","(89, 14)","(106, 20)","(108, 40)","(90, 45)","(73, 35)",
"(70, 17)","(72, 40)","(88, 48)","(113, 41)","(110, 19)","(93, 10)",
"(73, 20)","(89, 14)","(106, 20)","(108, 40)","(90, 45)","(73, 35)",
"(70, 17)","(72, 40)","(88, 48)","(113, 41)","(110, 19)","(93, 10)",
"(73, 20)","(89, 14)","(106, 20)","(108, 40)","(90, 45)","(73, 35)",
"(70, 17)","(72, 40)","(88, 48)","(113, 41)","(110, 19)","(93, 10)",
"(73, 20)","(89, 14)","(106, 20)","(108, 40)","(90, 45)","(73, 35)",
"(70, 17)","(72, 40)","(88, 48)","(113, 41)","(110, 19)","(93, 10)",
"(73, 20)","(89, 14)","(106, 20)","(108, 40)","(90, 45)","(73, 35)",
"(70, 17)","(72, 40)","(88, 48)","(113, 41)","(110, 19)","(93, 10)",
"(73, 20)","(89, 14)","(106, 20)","(108, 40)","(90, 45)","(73, 35)",
"(70, 17)","(72, 40)","(88, 48)","(113, 41)","(110, 19)","(93, 10)",
"(73, 20)","(89, 14)","(106, 20)","(108, 40)","(90, 45)","(73, 35)",
"(70, 17)","(72, 40)","(88, 48)","(113, 41)","(110, 19)","(93, 10)",
"(71, 16)","(72, 40)","(87, 48)","(113, 41)","(110, 19)","(94, 11)",
"(73, 20)","(89, 14)","(109, 24)","(108, 40)","(91, 45)","(73, 34)",
"(70, 18)","(71, 39)","(87, 48)","(112, 43)","(110, 19)","(95, 11)",
"(73, 20)","(89, 14)","(109, 24)","(108, 40)","(91, 45)","(73, 34)",
"(70, 18)","(71, 39)","(87, 48)","(112, 43)","(110, 19)","(95, 11)",
"(73, 20)","(89, 14)","(109, 24)","(108, 40)","(91, 45)","(73, 34)",
"(70, 18)","(71, 39)","(87, 48)","(112, 43)","(110, 19)","(95, 11)",
"(73, 20)","(89, 14)","(109, 24)","(108, 40)","(91, 45)","(73, 34)",
"(70, 18)","(71, 39)","(87, 48)","(112, 43)","(110, 19)","(95, 11)",
"(73, 20)","(89, 14)","(109, 24)","(108, 40)","(91, 45)","(73, 34)",
"(70, 18)","(71, 39)","(87, 48)","(112, 43)","(110, 19)","(95, 11)",
"(73, 20)","(89, 14)","(109, 24)","(108, 40)","(91, 45)","(73, 34)",
"(70, 18)","(71, 39)","(87, 48)","(112, 43)","(110, 19)","(95, 11)",
"(73, 20)","(89, 14)","(109, 24)","(108, 40)","(91, 45)","(73, 34)",
"(70, 18)","(71, 39)","(87, 48)","(112, 43)","(110, 19)","(95, 11)",
"(73, 20)","(89, 14)","(109, 24)","(108, 40)","(91, 45)","(73, 34)",
"(70, 18)","(71, 39)","(87, 48)","(112, 43)","(110, 19)","(95, 11)",
"(73, 20)","(89, 14)","(109, 24)","(108, 40)","(91, 45)","(72, 34)",
"(70, 18)","(71, 39)","(87, 48)","(112, 43)","(110, 19)","(95, 11)",
"(73, 20)","(89, 14)","(109, 24)","(108, 40)","(91, 45)","(72, 34)",
"(70, 18)","(71, 39)","(87, 48)","(112, 43)","(110, 19)","(95, 11)",
"(73, 20)","(89, 14)","(109, 24)","(108, 40)","(91, 45)","(73, 34)",
"(70, 18)","(71, 39)","(87, 48)","(112, 43)","(110, 19)","(95, 11)",
"(73, 20)","(89, 14)","(109, 24)","(108, 40)","(91, 45)","(73, 34)",
"(70, 18)","(71, 39)","(87, 48)","(112, 43)","(110, 19)","(95, 11)",
"(73, 20)","(89, 14)","(109, 24)","(108, 40)","(91, 45)","(73, 34)",
"(70, 18)","(71, 39)","(87, 48)","(112, 43)","(110, 19)","(95, 11)",
"(73, 20)","(89, 14)","(109, 24)","(108, 40)","(91, 45)","(73, 34)",
"(70, 18)","(71, 39)","(87, 48)","(112, 43)","(110, 19)","(95, 11)",
"(73, 20)","(89, 14)","(109, 24)","(108, 40)","(91, 45)","(73, 34)",
"(70, 18)","(71, 39)","(87, 48)","(112, 43)","(110, 19)","(95, 11)",
"(73, 20)","(89, 14)","(109, 24)","(108, 40)","(91, 45)","(73, 34)",
"(70, 18)","(71, 39)","(87, 48)","(112, 43)","(110, 19)","(95, 11)",
"(73, 20)","(89, 14)","(109, 24)","(108, 40)","(91, 45)","(73, 34)",
"(70, 18)","(71, 39)","(87, 48)","(112, 43)","(110, 19)","(95, 11)",
"(73, 20)","(89, 14)","(109, 24)","(108, 40)","(91, 45)","(73, 34)",
"(70, 18)","(71, 39)","(87, 48)","(112, 43)","(110, 19)","(95, 11)",
"(73, 20)","(89, 14)","(109, 24)","(108, 40)","(91, 45)","(73, 34)",
"(70, 18)","(71, 39)","(87, 48)","(112, 43)","(110, 19)","(95, 11)",
"(73, 20)","(89, 14)","(109, 24)","(108, 40)","(91, 45)","(73, 34)",
"(70, 18)","(71, 39)","(87, 48)","(112, 43)","(110, 19)","(95, 11)",
"(73, 20)","(89, 14)","(109, 24)","(108, 40)","(91, 45)","(73, 34)",
"(70, 18)","(71, 39)","(87, 48)","(112, 43)","(110, 19)","(95, 11)",
"(73, 20)","(89, 14)","(109, 24)","(108, 40)","(91, 45)","(73, 34)",
"(70, 18)","(71, 39)","(87, 48)","(112, 43)","(110, 19)","(95, 11)",
"(73, 20)","(89, 14)","(109, 24)","(108, 40)","(91, 45)","(73, 34)",
"(70, 18)","(71, 39)","(87, 48)","(112, 43)","(110, 19)","(95, 11)",
"(73, 20)","(89, 14)","(109, 24)","(108, 40)","(91, 45)","(73, 34)",
"(70, 18)","(71, 39)","(87, 48)","(112, 43)","(110, 19)","(95, 11)",
"(73, 20)","(89, 14)","(109, 24)","(108, 40)","(91, 45)","(73, 34)",
"(70, 18)","(71, 39)","(87, 48)","(112, 43)","(110, 19)","(95, 11)",
"(70, 18)","(71, 39)","(87, 48)","(112, 43)","(110, 19)","(95, 11)",
"(70, 18)","(71, 39)","(87, 48)","(112, 43)","(110, 19)","(95, 11)",
"(70, 18)","(71, 39)","(87, 48)","(112, 43)","(110, 19)","(95, 11)",
"(73, 20)","(89, 14)","(109, 24)","(108, 40)","(91, 45)","(73, 34)",
"(70, 18)","(71, 39)","(87, 48)","(112, 43)","(110, 19)","(95, 11)",
"(70, 17)","(72, 40)","(87, 48)","(112, 43)","(110, 19)","(95, 11)",
"(70, 17)","(72, 40)","(87, 48)","(112, 43)","(110, 19)","(95, 11)",
"(70, 17)","(72, 40)","(87, 48)","(112, 43)","(110, 19)","(95, 11)",
"(70, 17)","(72, 40)","(87, 48)","(112, 43)","(110, 19)","(95, 11)",
"(70, 17)","(72, 40)","(87, 48)","(112, 43)","(110, 19)","(95, 11)",
"(74, 20)","(89, 14)","(105, 20)","(108, 40)","(84, 43)","(73, 35)",
"(70, 17)","(72, 40)","(87, 48)","(112, 43)","(110, 19)","(94, 11)",
"(74, 20)","(89, 14)","(105, 20)","(108, 40)","(84, 43)","(73, 35)",
"(70, 17)","(72, 40)","(87, 48)","(112, 43)","(110, 19)","(94, 11)",
"(74, 20)","(89, 14)","(105, 20)","(108, 40)","(84, 43)","(73, 35)",
"(70, 17)","(72, 40)","(87, 48)","(112, 43)","(110, 19)","(94, 11)",
"(74, 20)","(89, 14)","(105, 20)","(108, 40)","(84, 43)","(73, 35)",
"(70, 17)","(72, 40)","(87, 48)","(112, 43)","(110, 19)","(95, 11)",
"(74, 20)","(89, 14)","(105, 20)","(108, 40)","(84, 43)","(73, 35)",
"(70, 17)","(72, 40)","(87, 48)","(112, 43)","(110, 19)","(94, 11)",
"(74, 20)","(89, 14)","(105, 20)","(108, 40)","(84, 43)","(73, 35)",
"(70, 17)","(72, 40)","(87, 48)","(112, 43)","(110, 19)","(94, 11)",
"(74, 20)","(89, 14)","(105, 20)","(108, 40)","(84, 43)","(73, 35)",
"(70, 17)","(72, 40)","(87, 48)","(112, 43)","(110, 19)","(94, 11)",
"(74, 20)","(89, 14)","(105, 20)","(108, 40)","(84, 43)","(73, 35)",
"(70, 17)","(72, 40)","(87, 48)","(112, 43)","(110, 19)","(94, 11)",
"(74, 20)","(89, 14)","(105, 20)","(108, 40)","(84, 43)","(73, 35)",
"(70, 17)","(72, 40)","(87, 48)","(112, 43)","(110, 19)","(94, 11)",
"(74, 20)","(89, 14)","(105, 20)","(108, 40)","(84, 43)","(73, 35)",
"(70, 17)","(72, 40)","(87, 48)","(112, 43)","(110, 19)","(95, 11)",
"(74, 20)","(89, 14)","(105, 20)","(108, 40)","(84, 43)","(73, 35)",
"(70, 17)","(72, 40)","(87, 48)","(112, 43)","(110, 19)","(95, 11)",
"(74, 20)","(89, 14)","(105, 20)","(108, 40)","(84, 43)","(73, 35)",
"(70, 17)","(72, 40)","(87, 48)","(112, 43)","(110, 19)","(95, 11)",
